iter	Passed	Remaining
0	26	12981
1	72	18036
2	102	17009
3	131	16247
4	168	16647
5	200	16512
6	228	16074
7	257	15841
8	287	15683
9	316	15526
10	343	15268
11	372	15149
12	400	14999
13	429	14909
14	457	14800
15	485	14690
16	514	14624
17	543	14562
18	571	14462
19	601	14429
20	629	14349
21	656	14272
22	685	14220
23	714	14165
24	743	14124
25	773	14101
26	803	14072
27	832	14041
28	862	14004
29	891	13966
30	921	13945
31	952	13926
32	981	13896
33	1012	13876
34	1043	13869
35	1074	13850
36	1105	13837
37	1136	13813
38	1166	13791
39	1197	13768
40	1226	13735
41	1257	13709
42	1287	13686
43	1319	13670
44	1338	13536
45	1367	13499
46	1396	13460
47	1426	13430
48	1441	13271
49	1471	13241
50	1501	13218
51	1531	13195
52	1561	13166
53	1591	13147
54	1620	13114
55	1651	13094
56	1681	13070
57	1711	13045
58	1741	13020
59	1773	13004
60	1803	12978
61	1833	12955
62	1862	12922
63	1892	12890
64	1922	12863
65	1953	12846
66	1983	12818
67	2013	12791
68	2043	12765
69	2073	12739
70	2103	12708
71	2132	12678
72	2164	12658
73	2194	12634
74	2224	12607
75	2256	12591
76	2277	12509
77	2306	12476
78	2334	12440
79	2366	12422
80	2395	12391
81	2426	12367
82	2456	12341
83	2486	12313
84	2517	12289
85	2537	12216
86	2566	12184
87	2597	12160
88	2627	12133
89	2657	12108
90	2686	12076
91	2716	12049
92	2745	12016
93	2774	11982
94	2803	11951
95	2814	11842
96	2841	11806
97	2871	11780
98	2918	11820
99	2943	11773
100	2973	11746
101	3002	11715
102	3032	11687
103	3060	11653
104	3070	11552
105	3098	11518
106	3128	11490
107	3159	11468
108	3188	11436
109	3217	11406
110	3244	11370
111	3273	11341
112	3303	11312
113	3332	11284
114	3362	11257
115	3392	11230
116	3422	11203
117	3457	11191
118	3491	11179
119	3523	11157
120	3554	11135
121	3585	11108
122	3615	11082
123	3652	11075
124	3682	11048
125	3712	11019
126	3741	10989
127	3771	10960
128	3801	10931
129	3831	10904
130	3863	10883
131	3895	10860
132	3925	10832
133	3955	10802
134	3984	10774
135	4016	10751
136	4047	10723
137	4080	10704
138	4112	10679
139	4142	10653
140	4172	10623
141	4202	10595
142	4231	10563
143	4261	10536
144	4289	10502
145	4318	10471
146	4349	10445
147	4380	10418
148	4412	10395
149	4442	10366
150	4472	10337
151	4503	10310
152	4533	10282
153	4564	10254
154	4595	10228
155	4627	10204
156	4657	10175
157	4687	10147
158	4718	10119
159	4748	10089
160	4778	10060
161	4806	10028
162	4837	10001
163	4868	9974
164	4898	9944
165	4928	9915
166	4958	9888
167	4989	9860
168	5020	9833
169	5052	9806
170	5082	9779
171	5114	9752
172	5143	9722
173	5173	9693
174	5203	9664
175	5234	9636
176	5264	9607
177	5295	9578
178	5325	9550
179	5355	9520
180	5386	9492
181	5414	9461
182	5445	9432
183	5479	9410
184	5513	9387
185	5547	9364
186	5575	9332
187	5603	9300
188	5634	9272
189	5666	9244
190	5696	9215
191	5732	9195
192	5766	9172
193	5798	9146
194	5834	9125
195	5870	9105
196	5901	9076
197	5933	9049
198	5964	9021
199	5979	8969
200	6009	8939
201	6038	8908
202	6068	8877
203	6094	8843
204	6126	8815
205	6155	8785
206	6186	8756
207	6214	8724
208	6226	8669
209	6256	8639
210	6287	8611
211	6317	8581
212	6347	8552
213	6377	8523
214	6406	8492
215	6435	8461
216	6464	8430
217	6494	8401
218	6527	8376
219	6557	8346
220	6587	8316
221	6618	8287
222	6649	8259
223	6679	8230
224	6710	8201
225	6741	8172
226	6773	8146
227	6803	8116
228	6833	8087
229	6862	8055
230	6892	8025
231	6921	7996
232	6952	7966
233	6981	7936
234	7012	7907
235	7042	7878
236	7073	7849
237	7103	7819
238	7134	7790
239	7163	7760
240	7192	7729
241	7223	7700
242	7255	7673
243	7281	7639
244	7309	7607
245	7337	7576
246	7368	7547
247	7396	7515
248	7425	7484
249	7455	7455
250	7485	7426
251	7513	7394
252	7543	7364
253	7571	7332
254	7603	7305
255	7632	7274
256	7662	7245
257	7694	7216
258	7723	7186
259	7754	7157
260	7783	7127
261	7812	7096
262	7844	7068
263	7873	7038
264	7904	7009
265	7935	6980
266	7966	6952
267	7996	6922
268	8026	6892
269	8057	6863
270	8087	6834
271	8119	6805
272	8148	6775
273	8181	6748
274	8213	6720
275	8243	6690
276	8272	6659
277	8304	6631
278	8333	6601
279	8364	6571
280	8393	6541
281	8425	6513
282	8456	6484
283	8502	6467
284	8532	6436
285	8562	6406
286	8591	6376
287	8621	6346
288	8650	6316
289	8678	6284
290	8706	6253
291	8735	6222
292	8765	6192
293	8794	6162
294	8823	6131
295	8852	6101
296	8881	6070
297	8911	6040
298	8941	6010
299	8971	5980
300	9000	5950
301	9029	5919
302	9057	5889
303	9087	5859
304	9133	5839
305	9161	5808
306	9191	5778
307	9221	5748
308	9246	5715
309	9275	5685
310	9305	5654
311	9333	5624
312	9358	5591
313	9389	5561
314	9421	5532
315	9452	5503
316	9482	5474
317	9512	5444
318	9542	5414
319	9572	5384
320	9602	5354
321	9633	5325
322	9665	5296
323	9697	5267
324	9728	5238
325	9758	5208
326	9786	5177
327	9815	5147
328	9844	5116
329	9873	5086
330	9903	5056
331	9933	5026
332	9961	4995
333	9991	4965
334	10022	4936
335	10051	4906
336	10082	4876
337	10114	4847
338	10144	4817
339	10176	4788
340	10205	4758
341	10236	4728
342	10267	4699
343	10294	4668
344	10322	4637
345	10352	4607
346	10381	4577
347	10410	4546
348	10440	4517
349	10471	4487
350	10502	4458
351	10533	4428
352	10562	4398
353	10593	4368
354	10624	4339
355	10653	4309
356	10683	4279
357	10713	4249
358	10743	4219
359	10773	4189
360	10801	4159
361	10830	4128
362	10858	4098
363	10886	4067
364	10917	4037
365	10948	4008
366	10979	3978
367	11009	3948
368	11038	3918
369	11070	3889
370	11100	3859
371	11132	3830
372	11162	3800
373	11191	3770
374	11220	3740
375	11250	3710
376	11279	3680
377	11308	3649
378	11338	3620
379	11368	3589
380	11397	3559
381	11428	3530
382	11458	3500
383	11489	3470
384	11519	3440
385	11549	3411
386	11581	3381
387	11611	3351
388	11642	3322
389	11672	3292
390	11702	3262
391	11732	3232
392	11760	3201
393	11788	3171
394	11818	3141
395	11847	3111
396	11877	3081
397	11907	3051
398	11939	3022
399	11970	2992
400	12000	2962
401	12029	2932
402	12058	2902
403	12089	2872
404	12123	2843
405	12156	2814
406	12186	2784
407	12217	2754
408	12245	2724
409	12273	2694
410	12302	2663
411	12331	2633
412	12360	2603
413	12392	2574
414	12423	2544
