iter	Accuracy	Logloss
0	0.7481021394	0.5262728772
1	0.7858293076	0.4699139114
2	0.7941108811	0.4493150762
3	0.7984817115	0.4357973881
4	0.8017023234	0.4232989804
5	0.808373591	0.4127503119
6	0.8113641592	0.4083792981
7	0.8120542903	0.4038767363
8	0.8180354267	0.3978254228
9	0.8175753393	0.3963793383
10	0.8198757764	0.3936460775
11	0.8214860824	0.392154017
12	0.8251667817	0.3880371546
13	0.8265470439	0.3852066749
14	0.8276972625	0.3828265995
15	0.8297676559	0.3808854563
16	0.8306878307	0.3781962398
17	0.8332183115	0.3751524721
18	0.8329882678	0.370022386
19	0.8362088797	0.3649507893
20	0.8345985737	0.363047704
21	0.8357487923	0.3602661034
22	0.8385093168	0.3575886152
23	0.8442604095	0.3529692424
24	0.8465608466	0.351132322
25	0.8493213711	0.3488995253
26	0.8467908903	0.3437794235
27	0.8484011962	0.3403371102
28	0.8495514148	0.3382991665
29	0.8507016333	0.3363678884
30	0.8523119393	0.3349758981
31	0.8578329883	0.3292460422
32	0.8578329883	0.3269969021
33	0.8592132505	0.3253424815
34	0.8599033816	0.3224836665
35	0.8589832068	0.3209423368
36	0.8624338624	0.3181962319
37	0.863584081	0.3168448425
38	0.8645042558	0.314874513
39	0.8656544744	0.3112387644
40	0.8654244306	0.3110519187
41	0.8688750863	0.3092184052
42	0.8697952611	0.307721809
43	0.8709454796	0.3069606937
44	0.86910513	0.3037504907
45	0.8714055671	0.3022155416
46	0.8732459167	0.2991922241
47	0.8764665286	0.29686257
48	0.8796871406	0.2944254996
49	0.8812974465	0.2929277296
50	0.8803772717	0.2908455166
51	0.8808373591	0.2882318984
52	0.8803772717	0.286915792
53	0.8829077525	0.2843813252
54	0.8835978836	0.2829387821
55	0.8838279273	0.281121934
56	0.8852081896	0.280387721
57	0.8849781458	0.2796745121
58	0.8861283644	0.2786664831
59	0.8865884518	0.276440684
60	0.8884288015	0.2742250512
61	0.8891189326	0.2719540057
62	0.88957902	0.270621083
63	0.8902691511	0.2693492209
64	0.8900391074	0.2690058026
65	0.8918794571	0.2682353982
66	0.8923395445	0.2667292536
67	0.8930296756	0.2655459465
68	0.8909592823	0.2630976122
69	0.8907292386	0.2618510341
70	0.8909592823	0.2614795986
71	0.8925695882	0.2608938711
72	0.8944099379	0.2587710413
73	0.8953301127	0.2568844829
74	0.8990108121	0.254091713
75	0.8999309869	0.2520732663
76	0.8999309869	0.2511495136
77	0.9001610306	0.2506592219
78	0.9010812054	0.2502731933
79	0.900621118	0.2485788093
80	0.9017713366	0.2478455937
81	0.9033816425	0.2468048443
82	0.9043018173	0.2446437504
83	0.9054520359	0.2440430535
84	0.907752473	0.2429165959
85	0.9086726478	0.2426557946
86	0.907752473	0.2414436098
87	0.9084426041	0.2403162058
88	0.9107430412	0.23806868
