iter	Logloss
0	0.591153675
1	0.5385075782
2	0.5098173206
3	0.4900055726
4	0.469111992
5	0.460948472
6	0.4512861134
7	0.4464203477
8	0.439864243
9	0.4359333973
10	0.4333524217
11	0.4319577727
12	0.4279877652
13	0.4259990332
14	0.424057173
15	0.4208653952
16	0.4190589346
17	0.4171329505
18	0.4167305113
19	0.4121626538
20	0.4109689708
21	0.4098681679
22	0.4097400208
23	0.4086087555
24	0.4059813926
25	0.4048479533
26	0.4040838415
27	0.4026175645
28	0.4012414541
29	0.4004717023
30	0.399469891
31	0.3991409786
32	0.3978874314
33	0.3972265413
34	0.396436475
35	0.3950921064
36	0.3950076915
37	0.3945954877
38	0.3935771189
39	0.3924056921
40	0.3923792126
41	0.3911312168
42	0.3902546072
43	0.3897930895
44	0.3897638949
45	0.3893260071
46	0.386177054
47	0.3861312468
48	0.3853791855
49	0.3853458549
