iter	Passed	Remaining
0	51	25462
1	92	22978
2	137	22737
3	180	22431
4	224	22176
5	264	21803
6	310	21866
7	351	21605
8	387	21139
9	424	20809
10	461	20502
11	500	20349
12	537	20127
13	577	20042
14	614	19861
15	655	19823
16	694	19726
17	730	19548
18	766	19414
19	816	19604
20	861	19646
21	905	19681
22	950	19713
23	996	19756
24	1071	20350
25	1119	20417
26	1166	20434
27	1207	20353
28	1261	20486
29	1305	20448
30	1378	20853
31	1420	20772
32	1461	20688
33	1505	20640
34	1547	20563
35	1590	20504
36	1638	20498
37	1684	20485
38	1726	20409
39	1769	20346
40	1809	20257
41	1849	20167
42	1894	20135
43	1941	20121
44	1993	20160
45	2039	20128
46	2079	20045
47	2120	19969
48	2167	19948
49	2213	19925
50	2261	19906
51	2303	19848
52	2346	19793
53	2414	19946
54	2461	19914
55	2505	19862
56	2551	19828
57	2647	20172
58	2688	20095
59	2734	20052
60	2783	20033
61	2829	19990
62	2874	19942
63	2921	19903
64	2969	19871
65	3016	19838
66	3061	19783
67	3118	19813
68	3164	19767
69	3212	19731
70	3281	19824
71	3326	19774
72	3372	19724
73	3416	19669
74	3484	19747
75	3531	19703
76	3581	19675
77	3626	19621
78	3664	19528
79	3710	19482
80	3760	19450
81	3802	19382
82	3843	19309
83	3890	19264
84	3932	19198
85	3978	19150
86	4024	19107
87	4072	19066
88	4118	19019
89	4167	18987
90	4231	19019
91	4276	18964
92	4322	18915
93	4370	18877
94	4418	18835
95	4462	18779
96	4509	18737
97	4556	18689
98	4603	18644
99	4652	18611
100	4702	18575
101	4753	18547
102	4802	18509
103	4848	18461
104	4905	18452
105	4955	18417
106	4999	18363
107	5054	18347
108	5098	18288
109	5156	18283
110	5197	18215
111	5239	18149
112	5276	18071
113	5320	18013
114	5366	17967
115	5410	17909
116	5449	17838
117	5487	17766
118	5524	17689
119	5561	17611
120	5598	17536
121	5637	17465
122	5679	17407
123	5744	17419
124	5795	17386
125	5842	17341
126	5889	17297
127	5939	17261
128	5976	17189
129	6046	17207
130	6094	17166
131	6149	17143
132	6193	17089
133	6247	17063
134	6295	17020
135	6341	16973
136	6385	16918
137	6456	16937
138	6497	16875
139	6537	16811
140	6584	16763
141	6635	16729
142	6702	16732
143	6754	16698
144	6864	16805
145	6912	16761
146	6961	16717
147	7009	16670
148	7042	16589
149	7125	16625
150	7164	16559
