iter	Logloss
0	0.6526550518
1	0.6167051983
2	0.5904052755
3	0.570065791
4	0.5548989566
5	0.5378458846
6	0.5278723803
7	0.5195991876
8	0.5107239765
9	0.5023268572
10	0.4956717215
11	0.490401579
12	0.4852284056
13	0.4782998612
14	0.4733013735
15	0.467983355
16	0.4635220906
17	0.459905929
18	0.4568852632
19	0.4547182343
20	0.451903677
21	0.4494309854
22	0.4466273181
23	0.4445957858
24	0.4431140179
25	0.440936501
26	0.4390030133
27	0.437609936
28	0.4359801406
29	0.4346731883
30	0.4330761365
31	0.4322110411
32	0.4301716648
33	0.4292809812
34	0.4290761691
35	0.4280598692
36	0.4266929929
37	0.4258511152
38	0.4249901841
39	0.423661157
40	0.4231857097
41	0.4225603663
42	0.4220668982
43	0.4212010795
44	0.4202681544
45	0.419287418
46	0.4176481603
47	0.416904182
48	0.4164428034
49	0.4156553228
50	0.4151858766
51	0.4145970076
52	0.4140434004
53	0.413659453
54	0.4126940496
55	0.4122072113
56	0.4120313358
57	0.4100808497
58	0.4091827582
59	0.4084471094
60	0.4079624147
61	0.40759318
62	0.4060392928
63	0.4054264242
64	0.4050204126
65	0.4048072124
66	0.4042184825
67	0.4035027611
68	0.4028878324
69	0.4025954048
70	0.4020801172
71	0.40181272
72	0.4013686331
73	0.4008398124
74	0.4005536669
75	0.4002824513
76	0.3997973654
77	0.3996051177
78	0.3990858669
79	0.3988303599
80	0.3982493648
81	0.3976931513
82	0.39763349
83	0.3974373217
84	0.3974209749
85	0.3970660345
86	0.3968806122
87	0.3966495286
88	0.39616892
89	0.3960875838
90	0.396070916
91	0.3959450901
92	0.3956516752
93	0.395413537
94	0.3950454191
95	0.3947018656
96	0.3939533382
97	0.3938229874
98	0.393618304
99	0.3931681802
