iter	Passed	Remaining
0	11	1090
1	52	2571
2	74	2413
3	110	2655
4	128	2448
5	140	2203
6	152	2023
7	164	1894
8	176	1779
9	186	1682
10	199	1615
11	210	1546
12	222	1487
13	250	1537
14	266	1511
15	278	1462
16	290	1417
17	303	1384
18	315	1344
19	326	1305
20	338	1272
21	349	1238
22	360	1207
23	371	1177
24	385	1155
25	397	1130
26	408	1105
27	435	1119
28	451	1105
29	487	1137
30	506	1127
31	519	1103
32	530	1077
33	541	1051
34	553	1027
35	564	1003
36	575	980
37	601	981
38	613	959
39	624	936
40	637	917
41	649	897
42	657	871
43	671	854
44	683	835
45	695	816
46	706	796
47	717	777
48	729	759
49	740	740
50	752	722
51	764	705
52	789	700
53	801	682
54	821	671
55	832	654
56	853	643
57	865	626
58	876	609
59	888	592
60	914	584
61	926	567
62	937	550
63	949	534
64	960	517
65	972	501
66	983	484
67	994	468
68	1005	451
69	1017	435
70	1027	419
71	1039	404
72	1053	389
73	1065	374
74	1076	358
75	1087	343
76	1100	328
77	1111	313
78	1141	303
79	1159	289
80	1177	276
81	1189	261
82	1200	245
83	1211	230
84	1224	216
85	1236	201
86	1246	186
87	1258	171
88	1285	158
89	1307	145
90	1334	131
91	1345	117
92	1366	102
93	1377	87
94	1396	73
95	1407	58
96	1418	43
97	1430	29
98	1441	14
99	1452	0
